SKU,Parent SKU,UPC,tax:product_type,post_status,Product Title,Short Description,Description,tax:product_cat,availability,moq,MAP,regular_price,attribute:pa_outdoor-use,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,meta:attribute_pa_color,attribute:pa_application,attribute:pa_arms,attribute:pa_base-legs,attribute:pa_structure-material,attribute:pa_upholstery-material,Product Width,Product Depth,Product Height,Product Weight,attribute:pa_assembly,attribute:pa_warranty,attribute:pa_country-of-origin,attribute:pa_style,attribute:pa_care-instructions,attribute:pa_weight-capacity,tax:pwb-brand,Images
546.STOR4WBL,,,simple,publish,"Silla TORRE-4P-WBL ( HT ), madera, polipropileno y cojín blanco","FICHA TÉCNICA: -Silla de diseño multiusos. -Carcasa de polipropileno de color blanco -Asiento con cojín de similpiel blanco -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:47,5 cms Fondo: 45 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,216 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,blanco,,,,,,,,,"47,5 ",45,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/2292-large_default/silla-torre-4p-wbl-ht-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/2292-medium_default/silla-torre-4p-wbl-ht-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/2440-medium_default/silla-torre-4p-wbl-ht-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/2540-medium_default/silla-torre-4p-wbl-ht-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/2590-medium_default/silla-torre-4p-wbl-ht-madera-polipropileno-y-cojin-blanco.jpg
546.STOR4WNE,,,simple,publish,"Silla TORRE-4P-WNE ( HT ), madera, polipropileno y cojín negro","FICHA TÉCNICA:  -Silla de diseño multiusos. -Carcasa de polipropileno de color negro -Asiento con cojín de similpiel negro -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:47,5 cms Fondo: 45 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,216 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,negro,,,,,,,,,"47,5 ",45,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/2291-large_default/silla-torre-4p-wne-ht-madera-polipropileno-y-cojin-negro.jpg|https://www.gruposdm.com/2291-medium_default/silla-torre-4p-wne-ht-madera-polipropileno-y-cojin-negro.jpg|https://www.gruposdm.com/2438-medium_default/silla-torre-4p-wne-ht-madera-polipropileno-y-cojin-negro.jpg|https://www.gruposdm.com/2591-medium_default/silla-torre-4p-wne-ht-madera-polipropileno-y-cojin-negro.jpg|https://www.gruposdm.com/2841-medium_default/silla-torre-4p-wne-ht-madera-polipropileno-y-cojin-negro.jpg
546.STOR4WGR,,,simple,publish,"Silla TORRE-4P-WGO ( HT ), madera, polipropileno y cojín gris oscuro","FICHA TÉCNICA: -Silla de diseño multiusos. -Carcasa de polipropileno de color gris oscuro -Asiento con cojín de similpiel gris oscura -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:47,5 cms Fondo: 45 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,216 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,gris,,,,,,,,,"47,5 ",45,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/2290-large_default/silla-torre-4p-wgo-ht-madera-polipropileno-y-cojin-gris-oscuro.jpg|https://www.gruposdm.com/2290-medium_default/silla-torre-4p-wgo-ht-madera-polipropileno-y-cojin-gris-oscuro.jpg|https://www.gruposdm.com/2289-medium_default/silla-torre-4p-wgo-ht-madera-polipropileno-y-cojin-gris-oscuro.jpg|https://www.gruposdm.com/2592-medium_default/silla-torre-4p-wgo-ht-madera-polipropileno-y-cojin-gris-oscuro.jpg
546.STOR4WTU,,,simple,publish,"Silla TORRE-4P-WTU ( HT ), madera, polipropileno y cojín turquesa","FICHA TÉCNICA: -Silla de diseño multiusos. -Carcasa de polipropileno de color turquesa -Asiento con cojín de similpiel turquesa -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:48,5 cms Fondo: 42 cms Altura: 82,5 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,17 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,turquesa,,,,,,,,,"48,5 ",42,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1904-large_default/silla-torre-4p-wtu-ht-madera-polipropileno-y-cojin-turquesa.jpg|https://www.gruposdm.com/1904-medium_default/silla-torre-4p-wtu-ht-madera-polipropileno-y-cojin-turquesa.jpg|https://www.gruposdm.com/2588-medium_default/silla-torre-4p-wtu-ht-madera-polipropileno-y-cojin-turquesa.jpg|https://www.gruposdm.com/2697-medium_default/silla-torre-4p-wtu-ht-madera-polipropileno-y-cojin-turquesa.jpg
546.STOR4WPI,,,simple,publish,"Silla TORRE-4P-WPI ( HT ), madera, polipropileno y cojín rosa","FICHA TÉCNICA: -Silla de diseño multiusos. -Carcasa de polipropileno de color rosa -Asiento con cojín de similpiel rosa -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:47,5 cms Fondo: 45 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,216 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,rosa,,,,,,,,,"47,5 ",45,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/2014-large_default/silla-torre-4p-wpi-ht-madera-polipropileno-y-cojin-rosa.jpg
546.STOR4WAM,,,simple,publish,"Silla TORRE-4P-WAM ( HT ), madera, polipropileno y cojín amarillo","FICHA TÉCNICA: -Silla de diseño multiusos. -Carcasa de polipropileno de color amarillo -Asiento con cojín de similpiel amarillo -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:47,5 cms Fondo: 45 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,216 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,amarillo,,,,,,,,,"47,5 ",45,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/2435-large_default/silla-torre-4p-wam-ht-madera-polipropileno-y-cojin-amarillo.jpg|https://www.gruposdm.com/2435-medium_default/silla-torre-4p-wam-ht-madera-polipropileno-y-cojin-amarillo.jpg|https://www.gruposdm.com/2589-medium_default/silla-torre-4p-wam-ht-madera-polipropileno-y-cojin-amarillo.jpg|https://www.gruposdm.com/3130-medium_default/silla-torre-4p-wam-ht-madera-polipropileno-y-cojin-amarillo.jpg
546.STOWERBL,,,simple,publish,"Silla TOWER-PP-BL, madera, polipropileno blanco*","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color blanco. -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,14.6,,,blanco,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1864-large_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/1864-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2206-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2318-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2610-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2668-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2802-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2852-medium_default/silla-tower-pp-bl-madera-polipropileno-blanco.jpg
546.STOWERNE,,,simple,publish,"Silla TOWER-PP-NE, madera, polipropileno negro","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color negro. -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,14.6,,,negro,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1865-large_default/silla-tower-pp-ne-madera-polipropileno-negro.jpg|https://www.gruposdm.com/1865-medium_default/silla-tower-pp-ne-madera-polipropileno-negro.jpg|https://www.gruposdm.com/2207-medium_default/silla-tower-pp-ne-madera-polipropileno-negro.jpg|https://www.gruposdm.com/2319-medium_default/silla-tower-pp-ne-madera-polipropileno-negro.jpg|https://www.gruposdm.com/2611-medium_default/silla-tower-pp-ne-madera-polipropileno-negro.jpg|https://www.gruposdm.com/2643-medium_default/silla-tower-pp-ne-madera-polipropileno-negro.jpg
546.STOWERAM,,,simple,publish,"Silla TOWER-PP-AM, madera, polipropileno amarillo","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color amarillo. -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,14.6,,,amarillo,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1866-large_default/silla-tower-pp-am-madera-polipropileno-amarillo.jpg|https://www.gruposdm.com/1866-medium_default/silla-tower-pp-am-madera-polipropileno-amarillo.jpg|https://www.gruposdm.com/2536-medium_default/silla-tower-pp-am-madera-polipropileno-amarillo.jpg|https://www.gruposdm.com/2612-medium_default/silla-tower-pp-am-madera-polipropileno-amarillo.jpg|https://www.gruposdm.com/2644-medium_default/silla-tower-pp-am-madera-polipropileno-amarillo.jpg
546.STOWERAZ,,,simple,publish,"Silla TOWER-PP-AZ, madera, polipropileno azul","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color azul -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,14.6,,,azul,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1867-large_default/silla-tower-pp-az-madera-polipropileno-azul.jpg|https://www.gruposdm.com/1867-medium_default/silla-tower-pp-az-madera-polipropileno-azul.jpg|https://www.gruposdm.com/2209-medium_default/silla-tower-pp-az-madera-polipropileno-azul.jpg|https://www.gruposdm.com/2411-medium_default/silla-tower-pp-az-madera-polipropileno-azul.jpg|https://www.gruposdm.com/2613-medium_default/silla-tower-pp-az-madera-polipropileno-azul.jpg|https://www.gruposdm.com/2667-medium_default/silla-tower-pp-az-madera-polipropileno-azul.jpg|https://www.gruposdm.com/2688-medium_default/silla-tower-pp-az-madera-polipropileno-azul.jpg
